Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
5,0.0,0.939911,0.670771,0.26914
5,0.01,0.998077,0.716619,0.281458
5,0.02,0.998077,0.716619,0.281458
5,0.03,0.998075,0.716617,0.281458
5,0.04,0.997991,0.716492,0.2815
5,0.05,0.996452,0.714508,0.281944
5,0.06,0.994453,0.714588,0.279866
5,0.07,0.917392,0.71333,0.204062
5,0.08,0.906699,0.718173,0.188527
5,0.09,0.901191,0.717103,0.184088
5,0.1,0.897845,0.694311,0.203534
5,0.11,0.895683,0.691762,0.20392
5,0.12,0.900312,0.698049,0.202262
5,0.13,0.904196,0.71415,0.190046
5,0.14,0.905464,0.717044,0.18842
5,0.15,0.901133,0.71441,0.186722
5,0.16,0.893872,0.711764,0.182108
5,0.17,0.891362,0.707556,0.183806
5,0.18,0.890125,0.704816,0.185309
5,0.19,0.889807,0.692565,0.197243
5,0.2,0.886995,0.681774,0.20522
5,0.21,0.88619,0.681666,0.204524
5,0.22,0.882056,0.680342,0.201714
5,0.23,0.880598,0.685396,0.195203
5,0.24,0.87806,0.694142,0.183918
5,0.25,0.878011,0.704072,0.173939
5,0.26,0.876358,0.706096,0.170262
5,0.27,0.872663,0.700615,0.172048
5,0.28,0.872463,0.690356,0.182108
5,0.29,0.871741,0.683754,0.187987
5,0.3,0.866702,0.6814,0.185302
5,0.31,0.864208,0.680104,0.184103
5,0.32,0.85914,0.673658,0.185482
5,0.33,0.858347,0.671088,0.187258
5,0.34,0.858729,0.675793,0.182937
5,0.35,0.857032,0.677255,0.179777
5,0.36,0.85541,0.678731,0.176678
5,0.37,0.852124,0.674548,0.177575
5,0.38,0.849896,0.674126,0.17577
5,0.39,0.846323,0.671531,0.174792
5,0.4,0.842978,0.669945,0.173033
5,0.41,0.841846,0.668778,0.173068
5,0.42,0.839555,0.663322,0.176233
5,0.43,0.838784,0.660173,0.178611
5,0.44,0.836679,0.658046,0.178633
5,0.45,0.832969,0.653942,0.179027
5,0.46,0.829002,0.648523,0.180479
5,0.47,0.826457,0.650454,0.176003
5,0.48,0.823039,0.652497,0.170543
5,0.49,0.822732,0.655204,0.167528
5,0.5,0.820529,0.653885,0.166644
5,0.51,0.81854,0.652811,0.165729
5,0.52,0.816316,0.647174,0.169141
5,0.53,0.813245,0.639747,0.173498
5,0.54,0.809993,0.632842,0.17715
5,0.55,0.806408,0.632067,0.17434
5,0.56,0.804655,0.632335,0.172319
5,0.57,0.802722,0.635938,0.166784
5,0.58,0.800213,0.636325,0.163888
5,0.59,0.796473,0.630123,0.166351
5,0.6,0.79082,0.62416,0.166659
5,0.61,0.791335,0.620593,0.170742
5,0.62,0.78901,0.618239,0.170771
5,0.63,0.78738,0.6176,0.16978
5,0.64,0.78345,0.614499,0.168951
5,0.65,0.779066,0.615118,0.163948
5,0.66,0.777037,0.612373,0.164663
5,0.67,0.776139,0.613888,0.16225
5,0.68,0.773729,0.611786,0.161944
5,0.69,0.770458,0.607323,0.163136
5,0.7,0.765593,0.602621,0.162971
5,0.71,0.761422,0.599192,0.16223
5,0.72,0.760128,0.596727,0.163402
5,0.73,0.7595,0.597992,0.161508
5,0.74,0.75561,0.596689,0.158921
5,0.75,0.751928,0.588969,0.162959
5,0.76,0.750307,0.590051,0.160255
5,0.77,0.746102,0.582515,0.163588
5,0.78,0.743258,0.584999,0.158258
5,0.79,0.741602,0.581226,0.160377
5,0.8,0.737032,0.579185,0.157847
5,0.81,0.737333,0.578281,0.159052
5,0.82,0.73276,0.575303,0.157457
5,0.83,0.72714,0.572644,0.154496
5,0.84,0.724918,0.566639,0.158279
5,0.85,0.724358,0.572674,0.151684
5,0.86,0.720296,0.565256,0.15504
5,0.87,0.717089,0.564745,0.152344
5,0.88,0.71364,0.559053,0.154587
5,0.89,0.711159,0.55979,0.151369
5,0.9,0.707739,0.554956,0.152783
5,0.91,0.706272,0.553724,0.152548
5,0.92,0.702245,0.55167,0.150576
5,0.93,0.699246,0.545427,0.153819
5,0.94,0.694996,0.547749,0.147246
5,0.95,0.692978,0.539408,0.15357
5,0.96,0.68666,0.537612,0.149048
5,0.97,0.688569,0.543089,0.14548
5,0.98,0.682949,0.537564,0.145385
5,0.99,0.681118,0.535614,0.145504
5,1.0,0.677402,0.532178,0.145224
