Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
4,0.0,0.974895,0.529911,0.444984
4,0.01,0.998843,0.555572,0.443272
4,0.02,0.998843,0.555572,0.443272
4,0.03,0.998843,0.555572,0.443272
4,0.04,0.988866,0.551001,0.437864
4,0.05,0.98401,0.563231,0.420778
4,0.06,0.990085,0.568606,0.421479
4,0.07,0.991615,0.560241,0.431374
4,0.08,0.986471,0.563271,0.4232
4,0.09,0.985252,0.569392,0.41586
4,0.1,0.979804,0.572461,0.407344
4,0.11,0.976123,0.570626,0.405497
4,0.12,0.976435,0.574921,0.401514
4,0.13,0.978609,0.57735,0.401259
4,0.14,0.975657,0.573831,0.401826
4,0.15,0.969512,0.577099,0.392412
4,0.16,0.966144,0.584152,0.381992
4,0.17,0.968211,0.581543,0.386669
4,0.18,0.966589,0.581663,0.384926
4,0.19,0.961433,0.587329,0.374104
4,0.2,0.957651,0.588319,0.369333
4,0.21,0.956522,0.583114,0.373408
4,0.22,0.956827,0.589638,0.36719
4,0.23,0.951746,0.595391,0.356355
4,0.24,0.947261,0.592775,0.354486
4,0.25,0.946864,0.592077,0.354787
4,0.26,0.945301,0.594992,0.350309
4,0.27,0.941915,0.598514,0.343401
4,0.28,0.939085,0.596855,0.34223
4,0.29,0.936878,0.600964,0.335914
4,0.3,0.935318,0.598046,0.337272
4,0.31,0.932187,0.601184,0.331003
4,0.32,0.928341,0.603529,0.324811
4,0.33,0.926655,0.606706,0.31995
4,0.34,0.92416,0.600231,0.323929
4,0.35,0.920834,0.602886,0.317949
4,0.36,0.920011,0.606319,0.313692
4,0.37,0.91649,0.609998,0.306492
4,0.38,0.911706,0.606176,0.30553
4,0.39,0.91071,0.607257,0.303453
4,0.4,0.907282,0.610123,0.297159
4,0.41,0.906741,0.610483,0.296258
4,0.42,0.899412,0.610387,0.289026
4,0.43,0.899698,0.608048,0.29165
4,0.44,0.897838,0.612305,0.285533
4,0.45,0.891626,0.611875,0.27975
4,0.46,0.892353,0.613247,0.279106
4,0.47,0.88711,0.614653,0.272457
4,0.48,0.882664,0.61095,0.271714
4,0.49,0.87861,0.613982,0.264628
4,0.5,0.877427,0.614966,0.262461
4,0.51,0.8764,0.61746,0.25894
4,0.52,0.871635,0.611254,0.260381
4,0.53,0.868336,0.612081,0.256255
4,0.54,0.863905,0.613997,0.249908
4,0.55,0.856255,0.617952,0.238303
4,0.56,0.857128,0.613429,0.243699
4,0.57,0.853661,0.610777,0.242884
4,0.58,0.851515,0.612747,0.238769
4,0.59,0.846124,0.616552,0.229572
4,0.6,0.84004,0.61642,0.22362
4,0.61,0.835037,0.609946,0.225091
4,0.62,0.830793,0.610837,0.219956
4,0.63,0.829162,0.613959,0.215202
4,0.64,0.827832,0.61563,0.212202
4,0.65,0.818083,0.606927,0.211156
4,0.66,0.812712,0.605193,0.207519
4,0.67,0.807504,0.61082,0.196684
4,0.68,0.80579,0.613498,0.192292
4,0.69,0.799879,0.604623,0.195256
4,0.7,0.797175,0.603041,0.194135
4,0.71,0.791347,0.602775,0.188571
4,0.72,0.777964,0.601523,0.176441
4,0.73,0.77425,0.601001,0.173249
4,0.74,0.773887,0.599581,0.174305
4,0.75,0.773864,0.598705,0.175159
4,0.76,0.75962,0.589963,0.169657
4,0.77,0.75411,0.594333,0.159777
4,0.78,0.748877,0.594989,0.153888
4,0.79,0.747232,0.592216,0.155016
4,0.8,0.737085,0.581103,0.155982
4,0.81,0.732568,0.579872,0.152696
4,0.82,0.725442,0.586711,0.138731
4,0.83,0.708784,0.576285,0.132499
4,0.84,0.707999,0.570832,0.137166
4,0.85,0.706885,0.568827,0.138058
4,0.86,0.705397,0.573888,0.131509
4,0.87,0.6851,0.565176,0.119924
4,0.88,0.677769,0.561362,0.116407
4,0.89,0.67587,0.557282,0.118588
4,0.9,0.66054,0.544437,0.116103
4,0.91,0.659334,0.547423,0.111911
4,0.92,0.655346,0.548809,0.106537
4,0.93,0.647091,0.544412,0.102679
4,0.94,0.626677,0.53131,0.095368
4,0.95,0.625366,0.528341,0.097025
4,0.96,0.625582,0.530761,0.094821
4,0.97,0.62382,0.529471,0.094349
4,0.98,0.599636,0.516268,0.083368
4,0.99,0.594991,0.515246,0.079745
4,1.0,0.592584,0.510723,0.08186
