Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
6,0.0,1.0,0.546378,0.453622
6,0.01,1.0,0.546378,0.453622
6,0.02,0.999975,0.546302,0.453673
6,0.03,0.999237,0.543851,0.455386
6,0.04,0.998844,0.542253,0.456591
6,0.05,0.996835,0.542615,0.45422
6,0.06,0.927156,0.544205,0.382951
6,0.07,0.969837,0.548381,0.421456
6,0.08,0.975381,0.550084,0.425296
6,0.09,0.974653,0.548191,0.426461
6,0.1,0.973238,0.548032,0.425207
6,0.11,0.966006,0.548571,0.417435
6,0.12,0.91566,0.548921,0.366739
6,0.13,0.890364,0.550476,0.339887
6,0.14,0.904475,0.553216,0.351259
6,0.15,0.916448,0.553763,0.362685
6,0.16,0.913102,0.55319,0.359912
6,0.17,0.901949,0.552806,0.349143
6,0.18,0.875915,0.550473,0.325442
6,0.19,0.828002,0.553587,0.274415
6,0.2,0.823541,0.555071,0.26847
6,0.21,0.820433,0.557394,0.263039
6,0.22,0.832454,0.555949,0.276505
6,0.23,0.824212,0.554931,0.269282
6,0.24,0.807282,0.554979,0.252303
6,0.25,0.793551,0.554967,0.238584
6,0.26,0.743696,0.557218,0.186478
6,0.27,0.739536,0.558269,0.181267
6,0.28,0.733363,0.557264,0.1761
6,0.29,0.733028,0.557725,0.175303
6,0.3,0.721676,0.557688,0.163988
6,0.31,0.714903,0.558006,0.156897
6,0.32,0.702166,0.556399,0.145767
6,0.33,0.653112,0.557277,0.095834
6,0.34,0.646223,0.55908,0.087143
6,0.35,0.642055,0.559437,0.082618
6,0.36,0.625737,0.560487,0.06525
6,0.37,0.616651,0.558248,0.058403
6,0.38,0.611922,0.556702,0.05522
6,0.39,0.602897,0.555688,0.047209
6,0.4,0.579197,0.558212,0.020985
6,0.41,0.56189,0.561022,0.000868
6,0.42,0.548344,0.560169,0.011824
6,0.43,0.539107,0.557628,0.018521
6,0.44,0.527746,0.55672,0.028973
6,0.45,0.517045,0.557893,0.040847
6,0.46,0.507958,0.55951,0.051552
6,0.47,0.486436,0.559623,0.073187
6,0.48,0.485731,0.558572,0.072841
6,0.49,0.472844,0.558166,0.085322
6,0.5,0.472299,0.558121,0.085822
6,0.51,0.462625,0.557609,0.094984
6,0.52,0.450816,0.558402,0.107586
6,0.53,0.438031,0.559257,0.121226
6,0.54,0.426121,0.55865,0.132529
6,0.55,0.431044,0.558026,0.126983
6,0.56,0.414366,0.55701,0.142643
6,0.57,0.407864,0.557405,0.149541
6,0.58,0.396999,0.557693,0.160694
6,0.59,0.388578,0.558335,0.169757
6,0.6,0.385146,0.558866,0.17372
6,0.61,0.379082,0.557725,0.178643
6,0.62,0.368171,0.558021,0.189849
6,0.63,0.36308,0.557744,0.194664
6,0.64,0.356557,0.557622,0.201065
6,0.65,0.353308,0.559177,0.205869
6,0.66,0.339524,0.558139,0.218615
6,0.67,0.343854,0.55796,0.214105
6,0.68,0.333497,0.558358,0.224862
6,0.69,0.328097,0.559175,0.231078
6,0.7,0.32764,0.557333,0.229693
6,0.71,0.317271,0.558798,0.241527
6,0.72,0.315159,0.559388,0.24423
6,0.73,0.305527,0.55787,0.252344
6,0.74,0.296766,0.559567,0.262801
6,0.75,0.298495,0.558243,0.259748
6,0.76,0.291632,0.559007,0.267376
6,0.77,0.285425,0.558581,0.273156
6,0.78,0.287738,0.558744,0.271007
6,0.79,0.28112,0.560522,0.279402
6,0.8,0.280719,0.558703,0.277984
6,0.81,0.273701,0.560107,0.286407
6,0.82,0.267919,0.559648,0.291729
6,0.83,0.2641,0.559518,0.295418
6,0.84,0.260827,0.559383,0.298556
6,0.85,0.255183,0.558518,0.303335
6,0.86,0.255675,0.559788,0.304114
6,0.87,0.252867,0.560637,0.30777
6,0.88,0.245814,0.562874,0.317059
6,0.89,0.251467,0.561143,0.309676
6,0.9,0.243087,0.562069,0.318982
6,0.91,0.24259,0.558992,0.316402
6,0.92,0.23483,0.561669,0.326839
6,0.93,0.234713,0.561014,0.3263
6,0.94,0.229373,0.563494,0.334121
6,0.95,0.226796,0.562223,0.335427
6,0.96,0.225089,0.562423,0.337334
6,0.97,0.219719,0.562003,0.342284
6,0.98,0.222977,0.561433,0.338456
6,0.99,0.219323,0.562329,0.343006
6,1.0,0.216866,0.562325,0.345458
